"dep","jour","hosp","rea","radc","dcc","dc","rad"
"27",2020-03-19,1,1,0,1,1,0
"28",2020-03-19,11,4,0,1,0,0
"29",2020-03-19,17,5,6,0,0,3
"2A",2020-03-19,1,0,1,1,1,1
"2B",2020-03-19,0,0,0,0,0,0
"30",2020-03-19,4,1,7,1,1,1
"31",2020-03-19,26,6,13,1,1,2
"32",2020-03-19,3,3,0,0,0,0
"33",2020-03-19,7,5,7,2,1,4
"34",2020-03-19,49,18,21,4,2,3
"35",2020-03-19,16,8,15,0,0,15
"36",2020-03-19,3,0,0,0,0,0
"37",2020-03-19,6,3,0,0,0,0
"38",2020-03-19,22,2,3,1,0,3
"39",2020-03-19,2,1,1,0,0,0
"40",2020-03-19,0,0,0,0,0,0
"41",2020-03-19,2,0,1,0,0,1
"42",2020-03-19,48,18,8,3,2,5
"43",2020-03-19,1,1,5,0,0,0
"44",2020-03-19,24,6,9,1,0,2
"45",2020-03-19,9,3,0,0,0,0
"46",2020-03-19,0,0,1,0,0,0
"47",2020-03-19,10,1,1,0,0,0
"48",2020-03-19,1,0,0,0,0,0
"49",2020-03-19,16,3,28,0,0,2
"50",2020-03-19,6,0,2,0,0,1
"51",2020-03-19,39,7,14,2,1,8
"52",2020-03-19,4,0,0,1,0,0
"53",2020-03-19,5,1,3,0,0,1
"54",2020-03-19,54,23,1,6,1,0
"55",2020-03-19,35,3,4,0,0,4
"57",2020-03-19,194,46,15,19,3,4
"58",2020-03-19,0,0,0,0,0,0
"59",2020-03-19,138,35,36,5,2,20
"60",2020-03-19,109,21,23,14,8,5
"61",2020-03-19,2,0,3,0,0,1
"62",2020-03-19,30,11,25,0,0,9
"63",2020-03-19,9,1,4,0,0,1
"64",2020-03-19,9,0,1,0,0,1
"65",2020-03-19,2,1,0,0,0,0
"66",2020-03-19,19,11,3,3,3,2
"67",2020-03-19,302,82,13,18,3,9
"68",2020-03-19,437,73,131,91,17,15
"69",2020-03-19,210,33,48,12,12,38
"70",2020-03-19,14,3,3,0,0,1
"71",2020-03-19,48,3,7,5,0,3
"72",2020-03-19,8,0,5,0,0,4
"73",2020-03-19,10,2,5,0,0,2
"74",2020-03-19,37,11,49,6,1,6
"75",2020-03-19,453,122,62,22,8,22
"76",2020-03-19,33,4,3,4,1,0
"77",2020-03-19,48,13,15,0,0,5
"78",2020-03-19,92,20,7,6,1,2
"79",2020-03-19,3,1,3,0,0,1
"80",2020-03-19,74,23,12,2,1,3
"81",2020-03-19,5,1,2,0,0,0
"82",2020-03-19,1,0,0,1,0,0
"83",2020-03-19,27,13,86,2,2,8
"84",2020-03-19,12,4,9,1,0,2
"85",2020-03-19,5,1,5,0,0,5
"86",2020-03-19,7,0,0,1,0,0
"87",2020-03-19,6,1,2,0,0,0
"88",2020-03-19,38,6,8,11,3,1
"89",2020-03-19,5,1,1,2,2,0
"90",2020-03-19,39,9,0,3,3,0
"91",2020-03-19,82,22,4,1,0,4
"92",2020-03-19,206,54,31,7,3,9
"93",2020-03-19,143,45,21,5,0,6
"94",2020-03-19,182,47,41,10,5,25
"95",2020-03-19,150,37,32,5,3,11
"971",2020-03-19,0,0,0,0,0,0
"972",2020-03-19,17,5,0,1,0,0
"973",2020-03-19,0,0,0,0,0,0
"974",2020-03-19,2,2,0,0,0,0
"976",2020-03-19,0,0,0,0,0,0
"1",2020-03-20,2,0,1,0,0,0
"2",2020-03-20,52,19,40,24,5,7
"3",2020-03-20,1,0,10,0,0,3
"4",2020-03-20,3,1,3,0,0,0
"5",2020-03-20,13,1,10,0,0,0
"6",2020-03-20,43,7,61,4,2,13
"7",2020-03-20,15,3,3,1,1,3
"8",2020-03-20,1,1,1,0,0,0
"9",2020-03-20,2,1,2,0,0,0
"10",2020-03-20,12,2,0,0,0,0
"11",2020-03-20,26,11,13,8,2,5
"12",2020-03-20,12,2,3,1,0,1
"13",2020-03-20,174,26,108,4,0,11
"14",2020-03-20,4,1,3,1,1,2
"15",2020-03-20,4,1,0,0,0,0
"16",2020-03-20,1,0,2,0,0,0
"17",2020-03-20,9,3,2,0,0,0
"18",2020-03-20,0,0,0,0,0,0
"19",2020-03-20,1,0,0,0,0,0
"21",2020-03-20,82,31,37,3,1,9
"22",2020-03-20,5,0,3,1,1,0
"23",2020-03-20,0,0,0,0,0,0
"24",2020-03-20,3,3,2,0,0,1
"25",2020-03-20,43,15,13,4,2,3
"26",2020-03-20,38,9,2,2,2,0
"27",2020-03-20,4,1,0,1,0,0
"28",2020-03-20,12,2,0,1,0,0
"29",2020-03-20,20,4,6,1,1,0
"2A",2020-03-20,60,14,10,3,2,9
"2B",2020-03-20,6,0,23,0,0,23
"30",2020-03-20,8,1,7,1,0,0
"31",2020-03-20,35,10,16,2,1,3
"32",2020-03-20,3,3,0,0,0,0
"33",2020-03-20,10,5,12,2,0,5
"34",2020-03-20,61,21,24,4,0,3
"35",2020-03-20,20,9,17,1,1,2
"36",2020-03-20,4,1,0,0,0,0
"37",2020-03-20,12,5,0,1,1,0
"38",2020-03-20,27,2,10,1,0,7
"39",2020-03-20,6,1,2,0,0,1
"40",2020-03-20,0,0,0,0,0,0
"42",2020-03-20,63,17,9,4,1,1
"43",2020-03-20,2,2,6,0,0,1
"44",2020-03-20,30,10,11,1,0,2
"45",2020-03-20,26,5,2,0,0,2
"46",2020-03-20,0,0,2,0,0,1
"47",2020-03-20,10,1,1,0,0,0
"48",2020-03-20,1,0,0,0,0,0
"49",2020-03-20,22,4,38,0,0,10
"50",2020-03-20,12,4,2,0,0,0
"51",2020-03-20,54,11,26,2,0,12
"52",2020-03-20,8,0,5,4,3,5
"53",2020-03-20,7,2,3,0,0,0
"54",2020-03-20,65,26,2,7,1,1
"55",2020-03-20,46,5,6,0,0,2
"57",2020-03-20,257,61,24,23,4,9
"58",2020-03-20,1,1,0,0,0,0
"60",2020-03-20,123,28,30,18,4,7
"61",2020-03-20,3,1,4,0,0,1
"62",2020-03-20,50,20,35,1,1,10
"63",2020-03-20,4,1,9,0,0,5
"64",2020-03-20,8,0,2,1,1,1
"65",2020-03-20,2,1,0,0,0,0
"66",2020-03-20,26,15,3,4,1,0
"67",2020-03-20,366,92,42,28,10,29
"68",2020-03-20,509,91,170,105,14,39
"69",2020-03-20,236,41,68,19,7,20
"70",2020-03-20,26,6,5,0,0,2
"71",2020-03-20,53,5,10,8,3,3
"72",2020-03-20,8,0,5,0,0,0
"73",2020-03-20,17,2,8,0,0,3
"74",2020-03-20,54,9,53,6,0,4
"75",2020-03-20,575,145,98,30,8,36
"76",2020-03-20,48,6,5,5,1,2
"77",2020-03-20,79,31,21,2,2,6
"78",2020-03-20,136,33,16,12,6,9
"79",2020-03-20,5,1,8,0,0,5
"80",2020-03-20,95,30,16,3,1,4
"81",2020-03-20,6,1,3,0,0,1
"82",2020-03-20,1,0,0,1,0,0
"83",2020-03-20,35,17,88,2,0,2
"84",2020-03-20,13,3,10,1,0,1
"85",2020-03-20,6,1,5,0,0,0
"86",2020-03-20,11,0,0,1,0,0
"87",2020-03-20,7,2,2,0,0,0
"88",2020-03-20,46,5,8,14,3,0
"89",2020-03-20,10,3,1,2,0,0
"90",2020-03-20,49,9,0,5,2,0
"91",2020-03-20,122,28,7,3,2,3
"92",2020-03-20,254,74,50,11,4,19
"93",2020-03-20,201,62,35,19,14,14
"94",2020-03-20,226,60,67,12,2,26
"95",2020-03-20,192,51,56,10,5,24
"971",2020-03-20,0,0,0,0,0,0
"972",2020-03-20,19,5,0,1,0,0
"973",2020-03-20,0,0,0,0,0,0
"974",2020-03-20,2,2,0,0,0,0
"976",2020-03-20,0,0,0,0,0,0
"1",2020-03-21,4,0,1,0,0,0
"2",2020-03-21,61,20,49,25,1,9
"3",2020-03-21,5,0,10,0,0,0
"4",2020-03-21,4,1,3,0,0,0
"5",2020-03-21,13,1,10,0,0,0
"6",2020-03-21,46,7,61,6,2,0
"7",2020-03-21,15,3,3,1,0,0
"8",2020-03-21,3,1,1,0,0,0
"9",2020-03-21,2,1,3,0,0,1
"10",2020-03-21,12,2,0,0,0,0
"11",2020-03-21,26,9,13,9,1,0
"12",2020-03-21,11,2,4,1,0,1
"13",2020-03-21,203,33,128,4,0,20
"14",2020-03-21,6,3,3,1,0,0
"15",2020-03-21,5,1,0,0,0,0
"16",2020-03-21,3,1,2,0,0,0
"17",2020-03-21,11,4,2,0,0,0
"18",2020-03-21,0,0,0,0,0,0
"19",2020-03-21,1,0,0,0,0,0
"21",2020-03-21,79,30,45,3,0,8
"22",2020-03-21,7,1,3,1,0,0
"23",2020-03-21,1,0,0,0,0,0
"24",2020-03-21,4,3,2,0,0,0
"25",2020-03-21,48,21,19,6,2,6
"26",2020-03-21,43,9,2,2,0,0
"28",2020-03-21,13,2,1,1,0,1
"29",2020-03-21,20,2,6,1,0,0
"2A",2020-03-21,62,14,12,4,1,2
"2B",2020-03-21,6,0,23,0,0,0
"30",2020-03-21,7,1,11,1,0,4
"31",2020-03-21,51,14,17,2,0,1
"32",2020-03-21,4,3,0,0,0,0
"33",2020-03-21,39,15,12,2,0,0
"34",2020-03-21,65,22,33,4,0,9
"35",2020-03-21,20,10,18,1,0,1
"36",2020-03-21,5,2,0,0,0,0
"37",2020-03-21,12,4,1,1,0,1
"38",2020-03-21,30,2,13,1,0,3
"39",2020-03-21,7,1,2,0,0,0
"40",2020-03-21,0,0,0,0,0,0
"41",2020-03-21,4,0,0,0,0,0
"42",2020-03-21,71,18,12,6,2,3
"43",2020-03-21,4,2,6,0,0,0
"44",2020-03-21,38,11,12,1,0,1
"45",2020-03-21,30,6,3,0,0,1
"46",2020-03-21,1,0,5,0,0,3
"47",2020-03-21,13,1,1,0,0,0
"48",2020-03-21,1,0,0,0,0,0
"50",2020-03-21,15,4,2,0,0,0
"51",2020-03-21,67,16,27,2,0,1
"52",2020-03-21,9,0,5,4,0,0
"53",2020-03-21,7,2,3,0,0,0
"54",2020-03-21,76,35,2,9,2,0
"55",2020-03-21,60,6,7,1,1,1
"57",2020-03-21,286,64,34,25,2,10
"58",2020-03-21,1,1,0,0,0,0
"60",2020-03-21,138,28,43,18,0,13
"63",2020-03-21,4,1,10,0,0,1
"64",2020-03-21,10,1,2,1,0,0
"65",2020-03-21,5,1,0,0,0,0
"66",2020-03-21,25,15,3,5,1,0
"67",2020-03-21,420,108,51,31,3,9
"68",2020-03-21,517,94,196,121,16,26
"69",2020-03-21,272,41,71,21,2,3
"70",2020-03-21,26,6,5,0,0,0
"71",2020-03-21,50,6,14,10,2,4
"72",2020-03-21,9,0,5,0,0,0
"73",2020-03-21,18,2,8,0,0,0
"74",2020-03-21,54,9,56,7,1,3
"75",2020-03-21,649,165,122,36,6,24
"76",2020-03-21,60,10,6,5,0,1
"77",2020-03-21,89,36,21,3,1,0
"78",2020-03-21,174,39,30,14,2,14
"79",2020-03-21,5,1,8,0,0,0
"80",2020-03-21,102,35,21,7,4,5
"81",2020-03-21,8,1,3,1,1,0
"82",2020-03-21,3,1,0,1,0,0
"83",2020-03-21,40,19,98,2,0,10
"84",2020-03-21,20,5,10,1,0,0
"85",2020-03-21,4,2,7,0,0,2
"86",2020-03-21,12,0,1,1,0,1
"87",2020-03-21,8,2,2,1,1,0
"88",2020-03-21,55,6,8,16,2,0
"89",2020-03-21,11,3,1,2,0,0
"90",2020-03-21,61,11,2,6,1,2
"91",2020-03-21,151,35,8,5,2,1
"92",2020-03-21,298,81,71,17,6,21
"93",2020-03-21,220,66,37,20,1,2
"94",2020-03-21,268,67,79,13,1,12
"95",2020-03-21,238,56,70,14,4,14
"971",2020-03-21,0,0,0,0,0,0
"972",2020-03-21,19,5,0,1,0,0
"973",2020-03-21,0,0,0,0,0,0
"974",2020-03-21,2,2,0,0,0,0
"976",2020-03-21,0,0,0,0,0,0
"1",2020-03-22,8,1,2,0,0,1
"2",2020-03-22,69,21,55,28,3,6
"3",2020-03-22,5,0,10,0,0,0
"4",2020-03-22,4,1,3,0,0,0
"5",2020-03-22,14,1,11,0,0,1
"6",2020-03-22,45,8,63,7,1,2
"7",2020-03-22,22,3,3,1,0,0
"8",2020-03-22,4,1,1,0,0,0
"9",2020-03-22,2,1,3,0,0,0
"10",2020-03-22,21,4,0,0,0,0
"11",2020-03-22,27,9,13,9,0,0
"12",2020-03-22,13,2,4,1,0,0
"13",2020-03-22,247,41,133,4,0,5
"14",2020-03-22,11,4,3,1,0,0
"15",2020-03-22,5,1,0,0,0,0
"16",2020-03-22,5,3,2,1,1,0
"17",2020-03-22,12,4,5,0,0,3
"18",2020-03-22,0,0,0,0,0,0
"19",2020-03-22,4,0,0,1,1,0
"21",2020-03-22,101,31,73,4,1,28
"22",2020-03-22,7,1,3,1,0,0
"23",2020-03-22,1,0,0,0,0,0
"24",2020-03-22,6,3,2,0,0,0
"25",2020-03-22,63,21,20,8,2,1
"26",2020-03-22,46,11,3,4,2,1
"27",2020-03-22,12,4,0,0,0,0
"28",2020-03-22,15,2,2,1,0,1
"29",2020-03-22,19,2,9,2,1,3
"2A",2020-03-22,58,13,13,6,2,1
"2B",2020-03-22,6,0,23,0,0,0
"31",2020-03-22,55,16,23,2,0,6
"32",2020-03-22,4,3,0,0,0,0
"33",2020-03-22,54,23,13,2,0,1
"34",2020-03-22,66,22,38,4,0,5
"35",2020-03-22,27,13,18,1,0,0
"36",2020-03-22,5,2,0,0,0,0
"37",2020-03-22,13,5,1,1,0,0
"38",2020-03-22,36,2,14,1,0,1
"39",2020-03-22,8,1,2,0,0,0
"40",2020-03-22,0,0,0,0,0,0
"41",2020-03-22,4,0,0,0,0,0
"42",2020-03-22,98,23,16,8,2,4
"43",2020-03-22,5,2,7,0,0,1
"44",2020-03-22,50,12,14,2,1,2
"45",2020-03-22,37,12,7,1,1,4
"46",2020-03-22,1,0,5,0,0,0
"47",2020-03-22,15,2,1,0,0,0
"48",2020-03-22,2,0,1,0,0,1
"49",2020-03-22,22,6,40,2,0,5
"50",2020-03-22,19,5,3,0,0,1
"51",2020-03-22,92,19,27,3,1,0
"52",2020-03-22,13,2,5,4,0,0
"53",2020-03-22,9,2,3,0,0,0
"54",2020-03-22,105,57,12,16,7,10
"55",2020-03-22,60,6,7,1,0,0
"56",2020-03-22,77,15,29,13,1,1
"57",2020-03-22,332,72,51,32,7,17
"58",2020-03-22,1,1,0,0,0,0
"59",2020-03-22,96,43,20,11,6,3
"60",2020-03-22,147,28,47,19,1,4
"61",2020-03-22,4,1,3,0,0,0
"62",2020-03-22,49,20,30,1,0,3
"63",2020-03-22,4,2,11,0,0,1
"64",2020-03-22,15,1,2,1,0,0
"65",2020-03-22,6,1,1,0,0,1
"66",2020-03-22,60,20,4,5,0,1
"67",2020-03-22,463,110,51,38,7,0
"68",2020-03-22,538,90,221,136,15,25
"69",2020-03-22,326,48,80,26,5,9
"70",2020-03-22,26,6,5,0,0,0
"71",2020-03-22,65,6,36,12,2,22
"72",2020-03-22,11,0,6,0,0,1
"73",2020-03-22,22,2,8,0,0,0
"74",2020-03-22,64,11,58,7,0,2
"75",2020-03-22,728,195,145,40,4,23
"76",2020-03-22,72,11,6,7,2,0
"77",2020-03-22,127,41,23,3,0,2
"78",2020-03-22,206,43,34,14,0,4
"79",2020-03-22,8,1,11,1,1,3
"80",2020-03-22,124,39,21,8,1,0
"81",2020-03-22,10,2,4,1,0,1
"82",2020-03-22,3,1,0,1,0,0
"83",2020-03-22,56,22,106,2,0,8
"84",2020-03-22,22,5,11,1,0,1
"85",2020-03-22,7,5,8,0,0,1
"86",2020-03-22,13,1,1,1,0,0
"87",2020-03-22,13,2,2,1,0,0
"88",2020-03-22,62,9,16,22,6,8
"89",2020-03-22,13,3,1,2,0,0
"90",2020-03-22,68,14,28,14,8,26
"92",2020-03-22,378,95,87,21,4,16
"93",2020-03-22,263,75,41,23,3,4
"94",2020-03-22,306,78,90,17,4,11
"95",2020-03-22,281,66,81,18,4,11
"971",2020-03-22,6,6,0,0,0,0
"972",2020-03-22,19,5,0,1,0,0
"973",2020-03-22,0,0,0,0,0,0
"974",2020-03-22,2,2,0,0,0,0
"976",2020-03-22,0,0,0,0,0,0
"1",2020-03-23,17,3,7,0,0,5
"2",2020-03-23,91,23,62,30,2,7
"3",2020-03-23,9,0,16,1,1,6
"4",2020-03-23,4,1,3,0,0,0
"5",2020-03-23,19,3,13,0,0,2
"6",2020-03-23,66,13,63,8,1,0
"7",2020-03-23,29,3,3,2,1,0
"8",2020-03-23,6,3,1,0,0,0
"9",2020-03-23,3,3,3,0,0,0
"10",2020-03-23,33,4,0,2,2,0
"11",2020-03-23,36,13,13,10,1,0
"12",2020-03-23,14,2,4,1,0,0
"13",2020-03-23,311,64,168,4,0,35
"14",2020-03-23,26,6,5,1,0,2
"15",2020-03-23,5,2,0,0,0,0
"16",2020-03-23,6,4,2,1,0,0
"17",2020-03-23,13,6,6,0,0,1
"18",2020-03-23,0,0,0,0,0,0
"19",2020-03-23,6,1,0,2,1,0
"21",2020-03-23,113,34,84,13,9,11
"22",2020-03-23,9,1,3,1,0,0
"23",2020-03-23,2,0,0,0,0,0
"24",2020-03-23,20,3,11,0,0,9
"25",2020-03-23,65,22,25,10,2,5
"26",2020-03-23,58,16,5,7,3,2
"27",2020-03-23,15,4,0,0,0,0
"28",2020-03-23,34,10,2,2,1,0
"29",2020-03-23,22,1,9,4,2,0
"2A",2020-03-23,59,9,14,7,1,1
"2B",2020-03-23,6,0,31,0,0,8
"30",2020-03-23,15,5,11,2,0,1
"31",2020-03-23,71,19,26,2,0,3
"32",2020-03-23,5,3,0,0,0,0
"33",2020-03-23,68,24,19,3,1,6
"34",2020-03-23,82,29,42,9,5,4
"35",2020-03-23,34,14,20,1,0,2
"36",2020-03-23,16,5,0,2,2,0
"37",2020-03-23,18,6,1,2,1,0
"38",2020-03-23,51,7,19,3,2,5
"39",2020-03-23,10,1,2,0,0,0
"40",2020-03-23,4,0,0,0,0,0
"41",2020-03-23,6,1,1,0,0,1
"42",2020-03-23,123,25,20,10,2,4
"43",2020-03-23,7,3,7,0,0,0
"44",2020-03-23,57,15,14,3,1,0
"45",2020-03-23,43,16,11,2,1,4
"47",2020-03-23,18,4,1,1,1,0
"48",2020-03-23,4,0,1,0,0,0
"49",2020-03-23,46,10,43,4,2,3
"50",2020-03-23,20,7,4,0,0,1
"51",2020-03-23,117,28,39,8,5,12
"52",2020-03-23,13,3,6,4,0,1
"53",2020-03-23,14,2,3,1,1,0
"54",2020-03-23,121,55,16,19,3,4
"55",2020-03-23,86,7,16,2,1,9
"56",2020-03-23,67,14,36,17,4,7
"57",2020-03-23,391,83,58,53,21,7
"58",2020-03-23,3,2,0,0,0,0
"59",2020-03-23,145,68,30,15,4,10
"60",2020-03-23,174,31,54,29,10,7
"61",2020-03-23,6,2,7,0,0,4
"62",2020-03-23,65,28,33,3,2,3
"63",2020-03-23,7,3,11,0,0,0
"64",2020-03-23,19,1,5,1,0,3
"65",2020-03-23,7,1,2,0,0,1
"66",2020-03-23,83,22,6,6,1,2
"67",2020-03-23,545,139,77,50,12,26
"68",2020-03-23,634,100,233,157,21,12
"69",2020-03-23,429,71,90,34,8,10
"70",2020-03-23,26,6,5,0,0,0
"71",2020-03-23,84,7,50,13,1,14
"72",2020-03-23,20,2,6,1,1,0
"73",2020-03-23,26,4,13,1,1,5
"74",2020-03-23,92,20,63,12,5,5
"75",2020-03-23,925,223,198,59,19,53
"76",2020-03-23,81,14,8,8,1,2
"77",2020-03-23,161,54,40,3,0,17
"78",2020-03-23,226,49,41,17,3,7
"79",2020-03-23,8,1,12,1,0,1
"80",2020-03-23,137,37,22,9,1,1
"81",2020-03-23,7,3,4,1,0,0
"82",2020-03-23,2,1,1,1,0,1
"83",2020-03-23,56,23,114,5,3,8
"84",2020-03-23,25,8,16,3,2,5
"85",2020-03-23,10,6,8,0,0,0
"86",2020-03-23,15,1,1,3,2,0
"87",2020-03-23,17,2,2,1,0,0
"88",2020-03-23,65,10,24,32,10,8
"89",2020-03-23,16,7,1,2,0,0
"90",2020-03-23,94,20,31,24,10,3
"91",2020-03-23,253,66,18,4,0,6
"92",2020-03-23,496,126,112,28,7,25
"93",2020-03-23,333,85,55,28,5,14
"94",2020-03-23,384,103,108,24,7,18
"95",2020-03-23,364,81,93,30,12,12
"971",2020-03-23,6,6,0,0,0,0
"972",2020-03-23,19,5,0,1,0,0
"973",2020-03-23,0,0,0,0,0,0
"974",2020-03-23,2,2,0,0,0,0
"976",2020-03-23,0,0,0,0,0,0
"1",2020-03-24,22,3,11,0,0,4
"2",2020-03-24,107,27,85,33,3,23
"3",2020-03-24,9,0,16,1,0,0
"4",2020-03-24,4,1,3,0,0,0
"5",2020-03-24,19,4,16,1,1,3
"6",2020-03-24,55,12,86,8,0,23
"8",2020-03-24,5,3,2,0,0,1
"9",2020-03-24,3,3,3,0,0,0
"10",2020-03-24,36,4,0,2,0,0
"11",2020-03-24,33,11,13,12,2,0
"12",2020-03-24,19,3,5,1,0,1
"13",2020-03-24,369,82,197,7,3,29
"14",2020-03-24,29,10,7,1,0,2
"15",2020-03-24,7,3,0,0,0,0
"16",2020-03-24,13,4,2,2,1,0
"17",2020-03-24,26,6,6,0,0,0
"18",2020-03-24,2,2,1,0,0,1
"19",2020-03-24,12,3,0,3,1,0
"21",2020-03-24,114,34,106,22,9,22
"22",2020-03-24,11,2,3,1,0,0
"23",2020-03-24,2,0,0,0,0,0
"24",2020-03-24,24,4,15,0,0,4
"25",2020-03-24,80,26,30,11,1,5
"26",2020-03-24,67,21,10,9,2,5
"27",2020-03-24,15,4,0,0,0,0
"28",2020-03-24,41,12,3,3,1,1
"29",2020-03-24,22,1,14,5,1,5
"2A",2020-03-24,63,9,18,7,0,4
"2B",2020-03-24,7,0,33,0,0,2
"30",2020-03-24,14,8,14,4,2,3
"31",2020-03-24,89,28,38,3,1,12
"32",2020-03-24,8,3,0,0,0,0
"33",2020-03-24,99,41,27,3,0,8
"34",2020-03-24,99,34,49,10,1,7
"35",2020-03-24,33,13,26,2,1,6
"36",2020-03-24,19,7,0,2,0,0
"37",2020-03-24,22,6,4,2,0,3
"38",2020-03-24,59,7,31,3,0,12
"39",2020-03-24,24,2,4,0,0,2
"40",2020-03-24,4,0,0,0,0,0
"41",2020-03-24,10,1,6,0,0,5
